turn_index,timestamp,sender,text
0,2026-05-19T02:02:23,Эвелина,хочу тикток удалить
1,2026-05-19T02:02:29,Эвелина,и прочий мусор
2,2026-05-19T02:02:53,Миша,флдвао
3,2026-05-19T02:02:55,Эвелина,мешает привычка дурацкая
4,2026-05-19T02:03:06,Миша,хочу госы сдать на отл)
5,2026-05-19T02:03:14,Эвелина,ня
6,2026-05-19T02:03:22,Миша,и с ребятами пойти
7,2026-05-19T02:03:24,Миша,хз
8,2026-05-19T02:03:33,Миша,какая
9,2026-05-19T02:03:33,Эвелина,сдашь пойдешь
10,2026-05-19T02:03:37,Миша,с огоньком?
11,2026-05-19T02:03:44,Эвелина,залипать во что-то
12,2026-05-19T02:04:40,Миша,хм
13,2026-05-19T02:04:45,Миша,может мне тоже поставить..
14,2026-05-19T02:05:23,Эвелина,ахахах
15,2026-05-19T02:05:43,Эвелина,норм ава
16,2026-05-19T02:05:50,Эвелина,свээг
17,2026-05-19T02:06:10,Миша,хз
18,2026-05-19T02:06:15,Миша,норм разобрал
19,2026-05-19T02:06:17,Миша,3 билета кста
20,2026-05-19T02:06:19,Миша,из 25
21,2026-05-19T02:06:22,Миша,ну и это не фул
22,2026-05-19T02:06:24,Миша,это норм
23,2026-05-19T02:06:27,Миша,8 просмотрел
24,2026-05-19T02:06:38,Эвелина,большие билеты?
25,2026-05-19T02:06:52,Эвелина,воскок гос
26,2026-05-19T02:06:58,Миша,9
27,2026-05-19T02:06:58,Эвелина,спать будешь
28,2026-05-19T02:07:00,Миша,хз
29,2026-05-19T02:07:03,Миша,надеюсь
30,2026-05-19T02:07:05,Эвелина,бля
31,2026-05-19T02:13:05,Эвелина,(если щас ваще нет времени можно не читать я просто так небольшой хихик кидаю)
32,2026-05-19T02:13:33,Миша,нихуя он умный
33,2026-05-19T02:13:36,Миша,agi
34,2026-05-19T02:13:40,Эвелина,дадад
35,2026-05-19T02:13:53,Миша,это гпт?
36,2026-05-19T02:14:02,Эвелина,дипсик
