turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,neutral
0,2026-05-19T02:02:23,Эвелина,хочу тикток удалить,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,2026-05-19T02:02:29,Эвелина,и прочий мусор,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,2026-05-19T02:02:53,Миша,флдвао,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,2026-05-19T02:02:55,Эвелина,мешает привычка дурацкая,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,2026-05-19T02:03:06,Миша,хочу госы сдать на отл),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
5,2026-05-19T02:03:14,Эвелина,ня,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,2026-05-19T02:03:22,Миша,и с ребятами пойти,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,2026-05-19T02:03:24,Миша,хз,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,2026-05-19T02:03:33,Миша,какая,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
9,2026-05-19T02:03:33,Эвелина,сдашь пойдешь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10,2026-05-19T02:03:37,Миша,с огоньком?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
11,2026-05-19T02:03:44,Эвелина,залипать во что-то,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
12,2026-05-19T02:04:40,Миша,хм,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
